Registration,Latitude,Longitude,Altitude,Timestamp,Wind speed,Temperature,Position accuracy,NAV redundancy,TCAS,Mach speed,Vertical speed,ETA
VT-ALK,68.04794311523438,-1.9670677185058594,34000.0 ft,2023-07-08 08:18:08.000,52.5 kt,-52.75 C,<0.05 nm,OK,OK,0.8305,0.0 ft/min,2023-07-08 08:43:14.000
F-HNET,45.071754455566406,-12.71890640258789,41004.0 ft,2023-07-08 08:20:43.000,41.0 kt,-46.25 C,<0.05 nm,OK,OK,0.8525,-16.0 ft/min,2023-07-08 08:40:26.000
CN-RGY,43.077735900878906,-30.566368103027344,39000.0 ft,2023-07-08 08:24:50.875,66.5 kt,-59.75 C,<0.05 nm,OK,OK,0.8455,0.0 ft/min,2023-07-08 08:27:40.875
G-YMMT,-15.001659393310547,7.002239227294922,37000.0 ft,2023-07-08 08:25:31.375,,,<0.25 nm,OK,OK,0.829,0.0 ft/min,
3B-NCE,-11.19455337524414,55.886077880859375,37000.0 ft,2023-07-08 08:34:05.000,,,<0.05 nm,OK,OK,0.8515,16.0 ft/min,2023-07-08 08:43:24.000
VT-ALK,68.05669784545898,-7.513103485107422,34000.0 ft,2023-07-08 08:35:50.250,50.0 kt,-52.75 C,<0.05 nm,OK,OK,0.828,0.0 ft/min,
PH-BHL,45.53215026855469,-18.755035400390625,36996.0 ft,2023-07-08 08:37:12.125,42.5 kt,-43.0 C,<0.05 nm,OK,OK,0.845,0.0 ft/min,2023-07-08 08:57:23.125
A6-XWF,62.082881927490234,-11.634349822998047,36000.0 ft,2023-07-08 08:39:07.000,27.5 kt,-54.5 C,<0.05 nm,OK,OK,0.8465,0.0 ft/min,2023-07-08 09:08:20.000
A7-AMI,43.57521057128906,-24.95647430419922,37000.0 ft,2023-07-08 08:42:11.000,92.5 kt,-56.5 C,<0.05 nm,OK,OK,0.851,0.0 ft/min,2023-07-08 09:05:29.000
N13013,40.36548614501953,-15.853443145751953,39000.0 ft,2023-07-08 08:43:13.375,57.0 kt,-61.5 C,<0.05 nm,OK,OK,0.855,0.0 ft/min,2023-07-08 08:48:20.375
ET-APS,11.68344497680664,60.587711334228516,32000.0 ft,2023-07-08 08:53:47.375,,,<0.25 nm,OK,OK,0.8245,0.0 ft/min,
ET-APS,11.526718139648438,60.3449821472168,32000.0 ft,2023-07-08 08:55:47.375,,,<0.25 nm,OK,not available to ADS,0.823,0.0 ft/min,
CS-TUL,22.291259765625,-19.431381225585938,41004.0 ft,2023-07-08 08:57:36.000,,,<0.25 nm,OK,OK,0.8065,0.0 ft/min,2023-07-08 09:21:13.000
ET-APS,11.369132995605469,60.10139465332031,32000.0 ft,2023-07-08 08:57:47.375,,,<0.25 nm,OK,OK,0.823,-16.0 ft/min,
